,Added points,f1,accuracy
0,100,0.8156219540117233,0.8182291686534882
0,200,0.8012345850999785,0.8054687529802322
0,300,0.8055389838828391,0.8098958283662796
0,400,0.7953207078101439,0.8059895783662796
0,500,0.8224685416547066,0.8260416686534882
0,100,0.8017286264426378,0.8098958283662796
0,200,0.8036093027945684,0.8093750029802322
0,300,0.8141730317982945,0.8177083283662796
0,400,0.8288259888096717,0.8299479186534882
0,500,0.8390401704207451,0.8411458283662796
0,100,0.8033120289553419,0.8098958283662796
0,200,0.8090087509310737,0.8171875029802322
0,300,0.8099337282825125,0.8143229186534882
0,400,0.7963833432154588,0.8020833283662796
0,500,0.8236885640089526,0.8294270783662796
0,100,0.8275023785527125,0.8338541686534882
0,200,0.8039023411936868,0.8093750029802322
0,300,0.8261021718757793,0.8294270783662796
0,400,0.8067056672171342,0.8143229186534882
0,500,0.8231612358640583,0.8255208283662796
0,100,0.7986893615933979,0.8059895783662796
0,200,0.8138778837611409,0.8177083283662796
0,300,0.8341203812661696,0.8372395783662796
0,400,0.8183794861133724,0.8260416686534882
0,500,0.8146414498989075,0.8210937529802322
