,Added points,f1,accuracy
0,200,0.6230238958485735,0.6265625059604645
0,400,0.6626941313079764,0.6682291626930237
0,600,0.7364746874163869,0.7513020783662796
0,800,0.7728023480785838,0.7825520783662796
0,1000,0.7361799681986173,0.7481770813465118
0,200,0.7169446188319794,0.7218749970197678
0,400,0.6479230667686453,0.6645833402872086
0,600,0.7071871824237759,0.7273437529802322
0,800,0.7493271482532493,0.7585937529802322
0,1000,0.8163324437671018,0.8197916597127914
0,200,0.6906179525121765,0.6994791626930237
0,400,0.6915885658577559,0.6973958313465118
0,600,0.6851198849824897,0.6872395873069763
0,800,0.7402529803500989,0.7515625059604645
0,1000,0.7786003871730732,0.7835937440395355
0,200,0.6514433151141621,0.6661458313465118
0,400,0.6655576637850193,0.6661458313465118
0,600,0.6922991011287181,0.7028645873069763
0,800,0.7557809362278534,0.7575520873069763
0,1000,0.7458220395308148,0.7575520873069763
0,200,0.6933379693651418,0.7002604156732559
0,400,0.6865642685425242,0.7033854126930237
0,600,0.7623528284655906,0.7653645873069763
0,800,0.774237553493669,0.7859375029802322
0,1000,0.7920274660215616,0.7976562529802322
0,200,0.6550621617230513,0.6789062470197678
0,400,0.7098845340914112,0.7184895873069763
0,600,0.7414575782642703,0.7531249970197678
0,800,0.7858870915404274,0.7932291626930237
0,1000,0.7882070740512154,0.7908854186534882
0,200,0.6924387744429096,0.7028645873069763
0,400,0.715176190149221,0.7125000059604645
0,600,0.7181393512134001,0.7296874970197678
0,800,0.7577123382379837,0.7625000029802322
0,1000,0.7643853102082363,0.7609374970197678
0,200,0.706115673622573,0.7151041626930237
0,400,0.7061352582068042,0.7085937559604645
0,600,0.7028885214355843,0.7135416716337204
0,800,0.7666292923862185,0.7648437470197678
0,1000,0.7649985707554692,0.7726562470197678
0,200,0.6649743385512465,0.6794270873069763
0,400,0.6381674617062243,0.6632812470197678
0,600,0.7346662958272778,0.7463541626930237
0,800,0.7820429332633727,0.7859375029802322
0,1000,0.7690728286005242,0.7781250029802322
0,200,0.6557416488634707,0.6598958373069763
0,400,0.6733589801485876,0.6695312559604645
0,600,0.7349154732330557,0.7507812529802322
0,800,0.7297909807625744,0.7346354126930237
0,1000,0.7157168831784224,0.7242187559604645
0,200,0.697800908710466,0.7156250029802322
0,400,0.71101720490562,0.7140624970197678
0,600,0.7617363949764564,0.7713541686534882
0,800,0.7532341723531596,0.7614583373069763
0,1000,0.7492376844139816,0.7536458373069763
0,200,0.7016670106558905,0.7067708373069763
0,400,0.7131199292398035,0.7263020873069763
0,600,0.6636027826993882,0.6723958402872086
0,800,0.7564753389306655,0.7619791626930237
0,1000,0.7520998752386973,0.7585937529802322
0,200,0.6771061145916785,0.6906249970197678
0,400,0.6405369516529409,0.6578125059604645
0,600,0.6818755514637322,0.6963541656732559
0,800,0.7488167708567554,0.7552083283662796
0,1000,0.7649654884666657,0.7703125029802322
0,200,0.6413681097073234,0.6466145813465118
0,400,0.6986651083650223,0.7078125029802322
0,600,0.734467844096616,0.7468750029802322
0,800,0.7520169240127312,0.7619791626930237
0,1000,0.7887722853965105,0.7937500029802322
0,200,0.6919528061735875,0.7067708373069763
0,400,0.6703989453673895,0.6778645813465118
0,600,0.739231710945107,0.7497395873069763
0,800,0.7157733165751126,0.7106770873069763
0,1000,0.7930131262894671,0.7981770783662796
0,200,0.6755496906886974,0.6875
0,400,0.6921325983044733,0.6804687529802322
0,600,0.7651723211741124,0.7679687440395355
0,800,0.7702259785342774,0.7742187529802322
0,1000,0.7099508272401133,0.7223958373069763
0,200,0.7000936058495376,0.7117187529802322
0,400,0.707279245487977,0.7213541716337204
0,600,0.7405139295713346,0.7536458373069763
0,800,0.7692593608219324,0.7757812440395355
0,1000,0.7355740803933754,0.7398437559604645
0,200,0.6924871011674765,0.7023437470197678
0,400,0.6692553748454831,0.6729166656732559
0,600,0.7546476265784133,0.7619791626930237
0,800,0.7772614495889266,0.7859375029802322
0,1000,0.8050321787850871,0.8093750029802322
0,200,0.6711129348939446,0.6726562529802322
0,400,0.6677067870096534,0.6744791716337204
0,600,0.7481952509296259,0.7585937529802322
0,800,0.7622846102669472,0.7697916626930237
0,1000,0.7967952865998298,0.7981770783662796
0,200,0.6045675071008252,0.6221354156732559
0,400,0.6845254910160274,0.7078125029802322
0,600,0.7079306549794198,0.7184895873069763
0,800,0.7574021589487326,0.7619791626930237
0,1000,0.7681779670622247,0.7653645873069763
0,200,0.6765071677783474,0.6895833313465118
0,400,0.6944722552559541,0.7062499970197678
0,600,0.6992353515183596,0.7072916626930237
0,800,0.7047064161264149,0.7179687470197678
0,1000,0.7371399309978162,0.7458333373069763
0,200,0.6699317105896053,0.6744791716337204
0,400,0.671708221089268,0.68359375
0,600,0.6973695182961317,0.7106770873069763
0,800,0.7353926867787197,0.7429687529802322
0,1000,0.8102139889262537,0.8148437440395355
0,200,0.6782491946137633,0.6934895813465118
0,400,0.6477591075892707,0.6393229216337204
0,600,0.668700764959285,0.6773437559604645
0,800,0.7164953686270018,0.7302083373069763
0,1000,0.7772431885710898,0.7736979126930237
0,200,0.6358226146056342,0.6578125059604645
0,400,0.7115902685241404,0.7307291626930237
0,600,0.7352514621905317,0.7502604126930237
0,800,0.7584763514258128,0.7697916626930237
0,1000,0.7153753999756443,0.7257812470197678
0,200,0.6728308974715556,0.6861979216337204
0,400,0.6861802916225329,0.7023437470197678
0,600,0.7005987111710343,0.7091145813465118
0,800,0.7587312105954288,0.7619791626930237
0,1000,0.7580363445365685,0.7658854126930237
0,200,0.6429125603405135,0.6466145813465118
0,400,0.7167923423089704,0.7174479216337204
0,600,0.7085340066075616,0.7200520783662796
0,800,0.7490757474306864,0.7580729126930237
0,1000,0.7742549007144399,0.7820312529802322
0,200,0.6912288248360166,0.6929687559604645
0,400,0.681776531565663,0.6789062470197678
0,600,0.7564974314626356,0.7570312470197678
0,800,0.7522267144637894,0.7609374970197678
0,1000,0.7672979993023565,0.7731770873069763
0,200,0.6512119762588613,0.6739583313465118
0,400,0.7341522902658264,0.7356770783662796
0,600,0.7207721381098047,0.7346354126930237
0,800,0.7970631306315368,0.8015625029802322
0,1000,0.7678815471344839,0.7708333283662796
0,200,0.6470744543549827,0.6588541716337204
0,400,0.6411505450546774,0.640104167163372
0,600,0.7351560347833597,0.7434895783662796
0,800,0.7728763390978715,0.7791666686534882
0,1000,0.7791712858422035,0.7859375029802322
0,200,0.666584680926313,0.6768229156732559
0,400,0.6783834725145756,0.6867187470197678
0,600,0.7393054678069747,0.7468750029802322
0,800,0.7709246308677483,0.7752604186534882
0,1000,0.7592794678400578,0.7653645873069763
0,200,0.6818546798248285,0.6955729126930237
0,400,0.7149882254313593,0.7291666716337204
0,600,0.7737491684750317,0.7841145843267441
0,800,0.7940902551191048,0.8059895783662796
0,1000,0.794275706212793,0.7981770783662796
0,200,0.6796111389580565,0.6901041716337204
0,400,0.7187136622210974,0.7195312529802322
0,600,0.720198010872329,0.7312500029802322
0,800,0.7544797612256361,0.7687499970197678
0,1000,0.787099528133279,0.7898437529802322
0,200,0.6233242624272025,0.63671875
0,400,0.6838265167440694,0.6955729126930237
0,600,0.7268056640955304,0.7341145873069763
0,800,0.7204104768849169,0.7296874970197678
0,1000,0.7729143412044853,0.7776041626930237
0,200,0.700613540545452,0.7145833373069763
0,400,0.670060971323243,0.6755208373069763
0,600,0.7596136431494457,0.7679687440395355
0,800,0.7487379705309571,0.7575520873069763
0,1000,0.7883770628548356,0.7927083373069763
0,200,0.7007520861163039,0.7156250029802322
0,400,0.6692479395457165,0.6760416626930237
0,600,0.705905046616224,0.7078125029802322
0,800,0.767121716773375,0.7703125029802322
0,1000,0.7906976454097356,0.7942708283662796
0,200,0.6418630866884281,0.6539062559604645
0,400,0.53144045348439,0.5335937514901161
0,600,0.7176854347707655,0.7302083373069763
0,800,0.6968352484011004,0.7106770873069763
0,1000,0.7886699169217793,0.8039062470197678
0,200,0.6442602872745112,0.6460937559604645
0,400,0.6770633448717995,0.6778645813465118
0,600,0.773670638532266,0.7736979126930237
0,800,0.7355661490831933,0.7354166656732559
0,1000,0.7288434289461041,0.7432291656732559
0,200,0.6696747265993633,0.6828124970197678
0,400,0.7106194281022881,0.7140624970197678
0,600,0.7304256187159681,0.7408854216337204
0,800,0.7379597228465262,0.7513020783662796
0,1000,0.7875622371783846,0.7966145873069763
