,Added points,f1,accuracy
0,400,0.8246180599241234,0.8250000029802322
0,800,0.8379399339979463,0.8445312529802322
0,1200,0.8259217578261807,0.8283854126930237
0,1600,0.8676928663145419,0.8684895783662796
0,2000,0.8458065498194501,0.8494791686534882
0,400,0.8071963609535567,0.8088541626930237
0,800,0.8681274306976536,0.8690104186534882
0,1200,0.8469625536469116,0.8489583283662796
0,1600,0.8693431020174557,0.8729166686534882
0,2000,0.8314648676495497,0.8372395783662796
0,400,0.8169833457123684,0.8166666626930237
0,800,0.8404616126729605,0.8445312529802322
0,1200,0.8887955116254681,0.8895833343267441
0,1600,0.8727194676720971,0.8734374940395355
0,2000,0.8605393655719074,0.8617187440395355
0,400,0.8275905163474102,0.8294270783662796
0,800,0.8333484127177672,0.8333333283662796
0,1200,0.8607331455159143,0.8617187440395355
0,1600,0.8936128695622237,0.8934895843267441
0,2000,0.827317582908206,0.8289062529802322
0,400,0.8207474832869086,0.8244791626930237
0,800,0.7866059062562614,0.7927083373069763
0,1200,0.8533991488147843,0.8528645783662796
0,1600,0.883800988880882,0.8846354186534882
0,2000,0.8488733731481155,0.8539062440395355
