,Added points,f1,accuracy
0,200,0.6780445711149405,0.6945312470197678
0,400,0.663781906208935,0.6773437559604645
0,600,0.7138930460510475,0.7239583283662796
0,800,0.7498635771253345,0.7541666626930237
0,1000,0.7760252829186267,0.7859375029802322
0,200,0.7120267103246439,0.7195312529802322
0,400,0.7090347930903454,0.7164062559604645
0,600,0.7057895636018114,0.7184895873069763
0,800,0.7575507513686546,0.7658854126930237
0,1000,0.7826813449860326,0.7893229126930237
0,200,0.6699109971678461,0.6783854216337204
0,400,0.7180915668455674,0.7380208373069763
0,600,0.7092393620224404,0.7184895873069763
0,800,0.7341428289706455,0.7434895783662796
0,1000,0.7762047456742244,0.7815104126930237
0,200,0.6736289149335306,0.6822916716337204
0,400,0.6422636569506268,0.6539062559604645
0,600,0.6774052771409194,0.6945312470197678
0,800,0.7943541547649762,0.7981770783662796
0,1000,0.7512272101737758,0.7648437470197678
0,200,0.6515268579562348,0.6695312559604645
0,400,0.6364634615941597,0.6372395902872086
0,600,0.7396066214643517,0.7497395873069763
0,800,0.7502012189584121,0.7546875029802322
0,1000,0.7757900996741236,0.7854166626930237
0,200,0.6783756433176824,0.6911458373069763
0,400,0.6447771608316102,0.6539062559604645
0,600,0.6865585146912399,0.6979166716337204
0,800,0.7601458922186024,0.7697916626930237
0,1000,0.7473380997668362,0.7541666626930237
0,200,0.6505105536098527,0.6583333313465118
0,400,0.7037082575261201,0.7135416716337204
0,600,0.6742348144673065,0.6867187470197678
0,800,0.7564571382399461,0.7604166716337204
0,1000,0.7584401740979846,0.7640624940395355
0,200,0.659266821527336,0.6734375059604645
0,400,0.687887165693498,0.6979166716337204
0,600,0.7317102923273605,0.7424479126930237
0,800,0.7786103032156486,0.7874999940395355
0,1000,0.7643392708432488,0.7692708373069763
0,200,0.6893506713361429,0.7044270783662796
0,400,0.7006305668702641,0.7057291716337204
0,600,0.7700441959492771,0.7796874940395355
0,800,0.7264767409179935,0.7374999970197678
0,1000,0.797218639678344,0.8049479126930237
0,200,0.6975260630974093,0.7033854126930237
0,400,0.6984336149373075,0.7067708373069763
0,600,0.7143221430126779,0.7218749970197678
0,800,0.7870403775723458,0.7947916686534882
0,1000,0.7714860502121981,0.7736979126930237
0,200,0.6845170898130672,0.6940104216337204
0,400,0.6598074566916479,0.6794270873069763
0,600,0.7416081117301602,0.7507812529802322
0,800,0.7432698154532673,0.7486979216337204
0,1000,0.7719906874101348,0.7752604186534882
0,200,0.6157892143345882,0.6455729156732559
0,400,0.6875201267865725,0.7007812559604645
0,600,0.7178536852577273,0.7263020873069763
0,800,0.789192111988028,0.7927083373069763
0,1000,0.7856550147871013,0.7908854186534882
0,200,0.6760155707308861,0.6901041716337204
0,400,0.6607104660364072,0.6833333373069763
0,600,0.7553556167425143,0.7635416686534882
0,800,0.7693956546717309,0.7776041626930237
0,1000,0.7814383897335554,0.7859375029802322
0,200,0.6495786263087281,0.6549479216337204
0,400,0.642895544508596,0.6671874970197678
0,600,0.7412544167081411,0.7492187470197678
0,800,0.7940757322160912,0.8002604097127914
0,1000,0.7535909219589543,0.7625000029802322
0,200,0.7114136251078831,0.7190104126930237
0,400,0.6532601106068552,0.6700520813465118
0,600,0.7339441863733447,0.7424479126930237
0,800,0.7162944187609182,0.7208333313465118
0,1000,0.7651475605846252,0.7781250029802322
0,200,0.68350643810725,0.6841145902872086
0,400,0.6937856878263092,0.7062499970197678
0,600,0.7091865995836115,0.7252604216337204
0,800,0.7571108710223056,0.7625000029802322
0,1000,0.760611335721842,0.7664062529802322
0,200,0.6845179898057022,0.6945312470197678
0,400,0.6935900682887446,0.6973958313465118
0,600,0.7395246997135972,0.7458333373069763
0,800,0.7463548363665243,0.7565104216337204
0,1000,0.7503051123708016,0.7570312470197678
0,200,0.6916577339992689,0.7106770873069763
0,400,0.7512346351289241,0.7546875029802322
0,600,0.7091579383183673,0.7218749970197678
0,800,0.743777447495426,0.7502604126930237
0,1000,0.7877615096762426,0.7981770783662796
0,200,0.6419386534439067,0.6505208313465118
0,400,0.6600898659960261,0.6671874970197678
0,600,0.7297902062946847,0.7369791716337204
0,800,0.7433836376418129,0.7497395873069763
0,1000,0.7926185852562615,0.7947916686534882
0,200,0.6662177341428881,0.6861979216337204
0,400,0.698182421178552,0.7111979126930237
