,Added points,f1,accuracy
0,200,0.7067050246975782,0.7106770873069763
0,400,0.7387827897635482,0.7395833283662796
0,600,0.7690123320309952,0.7697916626930237
0,800,0.8395204419169784,0.8427083343267441
0,1000,0.7943456403324123,0.8039062470197678
0,200,0.721338962150454,0.7312500029802322
0,400,0.7131970451940994,0.7052083313465118
0,600,0.7628941814151933,0.7765624970197678
0,800,0.7874672277121038,0.7960937470197678
0,1000,0.7550500042362841,0.7710937559604645
0,200,0.7074739523279465,0.7174479216337204
0,400,0.781767302559571,0.7794270813465118
0,600,0.7786963851595612,0.7843749970197678
0,800,0.802195500453925,0.8059895783662796
0,1000,0.8201082027722486,0.8250000029802322
0,200,0.7244691219910667,0.7424479126930237
0,400,0.7695138362278894,0.7763020843267441
0,600,0.7852486997823634,0.7927083373069763
0,800,0.8147382825068301,0.8182291686534882
0,1000,0.8025147628732082,0.8088541626930237
0,200,0.7581552011589177,0.7664062529802322
0,400,0.736811444898263,0.7479166686534882
0,600,0.7869145177101289,0.7919270843267441
0,800,0.7653707198399331,0.7757812440395355
0,1000,0.8417421534493864,0.8484375029802322
0,200,0.6868367801265531,0.6890625059604645
0,400,0.6923699034055931,0.6867187470197678
0,600,0.7883013054661756,0.7888020873069763
0,800,0.7832386056708208,0.7903645783662796
0,1000,0.8339639717424541,0.8382812440395355
0,200,0.6850445570016062,0.7013020813465118
0,400,0.7159630117391667,0.7273437529802322
0,600,0.6974601762246883,0.7164062559604645
0,800,0.8002913410495706,0.8010416626930237
0,1000,0.7730516656972432,0.7770833373069763
0,200,0.7563325608982854,0.7692708373069763
0,400,0.7665950169215623,0.7718749940395355
0,600,0.7940911136441386,0.8015625029802322
0,800,0.7771387921085738,0.7854166626930237
0,1000,0.8231378727459491,0.8294270783662796
0,200,0.7398641712819183,0.7502604126930237
0,400,0.7098158681699893,0.7135416716337204
0,600,0.8019254675122943,0.8098958283662796
0,800,0.7978514789876311,0.8093750029802322
0,1000,0.8195311440224375,0.8210937529802322
0,200,0.69783930199599,0.7145833373069763
0,400,0.7075085508083645,0.7151041626930237
0,600,0.7639575291793034,0.7747395783662796
0,800,0.7962908065304571,0.8010416626930237
0,1000,0.8415865796028483,0.8466145843267441
0,200,0.7434567455825056,0.7507812529802322
0,400,0.7019998050777675,0.7062499970197678
0,600,0.7879921263946842,0.7953124940395355
0,800,0.8134883699517442,0.8221354186534882
0,1000,0.8129585741225921,0.8166666626930237
0,200,0.7203201003468673,0.7242187559604645
0,400,0.7456228068006566,0.7453124970197678
0,600,0.8166745035637439,0.8221354186534882
0,800,0.7902343479928269,0.7976562529802322
0,1000,0.8369345653229184,0.8416666686534882
0,200,0.7144435649454893,0.7252604216337204
0,400,0.7597511498129602,0.7625000029802322
0,600,0.8179067028025053,0.8221354186534882
0,800,0.818692704094102,0.8270833343267441
0,1000,0.8166621661443668,0.8255208283662796
0,200,0.7426635240704456,0.7575520873069763
0,400,0.7117709888933583,0.7218749970197678
0,600,0.7637296936450021,0.7770833373069763
0,800,0.7845148141697262,0.7932291626930237
0,1000,0.7754128047492302,0.7815104126930237
0,200,0.7198568646499949,0.7296874970197678
0,400,0.6988264525090832,0.7145833373069763
0,600,0.7671565536179508,0.7736979126930237
0,800,0.8007145637784274,0.8049479126930237
0,1000,0.7942771750716059,0.7971354126930237
