,Added points,f1,accuracy
0,400,0.7940889813543106,0.8015625029802322
0,800,0.8475146914507682,0.8528645783662796
0,1200,0.8440293912238411,0.8489583283662796
0,1600,0.8428220541181678,0.8489583283662796
0,2000,0.838546685026821,0.8450520783662796
0,400,0.8224508373486327,0.8294270783662796
0,800,0.8446070939470722,0.8489583283662796
0,1200,0.8430375440784488,0.8489583283662796
0,1600,0.8481640634116977,0.8528645783662796
0,2000,0.8599903550012616,0.8645833283662796
0,400,0.8141241346034295,0.8216145783662796
0,800,0.8350268561457241,0.8411458283662796
0,1200,0.8290028266935175,0.8372395783662796
0,1600,0.8390591088818512,0.8450520783662796
0,2000,0.8604045682610224,0.8651041686534882
0,400,0.8209493794043811,0.8289062529802322
0,800,0.8227018831275429,0.8294270783662796
0,1200,0.8411913078408689,0.8450520783662796
0,1600,0.8445243063821951,0.8489583283662796
0,2000,0.8500322095729044,0.8533854186534882
0,400,0.8223922267140922,0.8299479186534882
0,800,0.8511948119102049,0.8533854186534882
0,1200,0.8453503924745683,0.8528645783662796
0,1600,0.840417756255799,0.8450520783662796
0,2000,0.8579367409631776,0.8611979186534882
0,2000,0.7713690754909094,0.7781250029802322
