,Added points,f1,accuracy
0,200,0.7306926288251716,0.7369791716337204
0,400,0.651680318825061,0.6408854126930237
0,600,0.7856996751761786,0.7898437529802322
0,800,0.8105800166880801,0.8127604126930237
0,1000,0.8430724630136098,0.84375
0,200,0.7289559238139608,0.7346354126930237
0,400,0.6821357650463912,0.6755208373069763
0,600,0.7880046226550642,0.7882812470197678
0,800,0.8064820124648294,0.8078124970197678
0,1000,0.7773402414709405,0.7760416716337204
0,200,0.7228247945196551,0.7247395813465118
0,400,0.7646977539053363,0.7674479186534882
0,600,0.7748565859819794,0.7776041626930237
0,800,0.8283509443521242,0.8299479186534882
0,1000,0.8065741777110056,0.8117187470197678
0,200,0.6889977420765865,0.7018229216337204
0,400,0.6920245349976824,0.6989583373069763
0,600,0.7996744661588411,0.7986979186534882
0,800,0.8237846432424241,0.8255208283662796
0,1000,0.8122790673622874,0.8177083283662796
0,200,0.7485704399076094,0.7468750029802322
0,400,0.7575529679956219,0.7619791626930237
0,600,0.7656967205513062,0.7638020813465118
0,800,0.8046863369582652,0.8104166686534882
0,1000,0.8103301422177105,0.8117187470197678
0,200,0.686431373109294,0.6968750059604645
0,400,0.7341821395754499,0.7341145873069763
0,600,0.7993696709822216,0.7994791716337204
0,800,0.8028294191162956,0.8059895783662796
0,1000,0.8232774641539122,0.8260416686534882
0,200,0.6882000644024389,0.6960937529802322
0,400,0.7062885811095819,0.6916666626930237
0,600,0.7502506533344848,0.7565104216337204
0,800,0.8187418554186427,0.8166666626930237
0,1000,0.8340705497008236,0.8333333283662796
0,200,0.7593821748951604,0.7669270783662796
0,400,0.6060115431548989,0.6065104156732559
0,600,0.7711818434005134,0.7781250029802322
0,800,0.8406501917487339,0.8411458283662796
0,1000,0.7996513936469553,0.8031249940395355
0,200,0.7453285497645215,0.7565104216337204
0,400,0.5603050361730327,0.5669270902872086
0,600,0.7825180495344666,0.7859375029802322
0,800,0.7942544257543626,0.7981770783662796
0,1000,0.795583128969841,0.8059895783662796
0,200,0.6880397771260542,0.6973958313465118
0,400,0.7591138212110479,0.7580729126930237
0,600,0.8061308992383747,0.8098958283662796
0,800,0.7483124270723404,0.7526041716337204
0,1000,0.8201093190116622,0.8205729126930237
0,200,0.7548230386913243,0.7679687440395355
0,400,0.7425616708920919,0.7419270873069763
0,600,0.8029269558856558,0.7986979186534882
0,800,0.837285728454496,0.8416666686534882
0,1000,0.8126967074397043,0.8171875029802322
0,200,0.7834444679588579,0.7869791686534882
0,400,0.7337554782756688,0.7492187470197678
0,600,0.8035866886727255,0.8054687529802322
0,800,0.8355516054175745,0.8382812440395355
0,1000,0.8409007951667163,0.8421874940395355
0,200,0.7866837410786806,0.7893229126930237
0,400,0.6989404151812241,0.7091145813465118
0,600,0.7669653319316992,0.7731770873069763
0,800,0.8372578448598422,0.8377604186534882
0,1000,0.822570282542358,0.8216145783662796
0,200,0.745925793836313,0.7513020783662796
0,400,0.7275026868824406,0.7312500029802322
0,600,0.8110795834898274,0.8132812529802322
0,800,0.8096590194463251,0.8088541626930237
0,1000,0.820893633668525,0.8200520873069763
0,200,0.7388968563199985,0.7468750029802322
0,400,0.6750113862357182,0.6721354126930237
0,600,0.7831306530587894,0.7859375029802322
0,800,0.8268560214477064,0.8221354186534882
0,1000,0.7715513220655316,0.7731770873069763
